created_at,text,source,name,username,user_location,tweet_location,country_code,verified,description,city,state,country
2020-09-29 15:30:27+00:00,This is how every Resident Evil game starts. #coronavirus #vaccines @RE_Games https://t.co/CPnFORnPxY,Twitter for iPhone,Ryne Ladley,RyneLadley,Ⓜ️emphis,Wellington FL,US,False,#ForNate | GOD is my #1 | #GTG #GNG #BurghProud #HOTlanta | John 16:32 | @FUGEcamps Worship Leader/Emcee | Book for your next event 🎸🎶 : RyneLadley@gmail.com,,Florida,United States
2020-09-29 15:28:47+00:00,@TheLouPerez I love the vaccine court idiots. All you need to get money is the smallest thread of “evidence” and they pay you out. I’m pretty sure the fund has made more via interest than it’s actually paid out,Twitter for iPhone,wolfman2000,wolfman2000,"Atlanta, GA",Baxter Estates NY,US,False,He/they or he/him. Level 37 w/HF Autism. Aro/Demi Ace. BLM. LGBTQ+ rights are human rights. Lenna's Inception Former WR holder. Video gamer turning activist?,,New York,United States
2020-09-29 15:28:07+00:00,"Hey, guess what??? Since y'all are begging for a Covid-19 vaccine, did y'all know we have a FLU VACCINE??? Go get your flu vaccine in the next month guys ✌🏽",Twitter for iPhone,Amesh Adalja,AmeshAA,"Pittsburgh, Baltimore, NYC",Bethesda MD,US,True,"Infectious disease MD (also CCM & EM)working on pandemic policy, emerging infections, preventing bioterror https://t.co/1yNUzIwLQJ",Bethesda,Maryland,United States
2020-09-29 15:23:43+00:00,Great new paper on public preferences for how the #COVID19 vaccine should be allocated. https://t.co/VJuF7PNBLj,Twitter for iPhone,Anna Hurt,annahurt,,Tustin CA,US,False,,,California,United States
2020-09-29 15:20:34+00:00,"Mistrust of a coronavirus vaccine would be detrimental to populations across the U.S.

From mistrust in Black communities- rightly so- to the rise of anti-vaccination groups, WE (as a nation) must do better to reach out, inform, and educate our neighbors.
https://t.co/VDoMWX4w2q https://t.co/zF8rW8xgXV",Twitter for iPhone,Efam,Chief_Eef,"Houston, TX",Galt CA,US,False,bruh,,California,United States
2020-09-29 15:18:33+00:00,"Jim you live in a bubble.  Ask a real Dr what they think about mask wearing?  I wish we had a weak President like Obama.  He would’ve saved us.  CDC deaths from Covid?? 10,000??  Regulations cut!  Give red tape cut.  Govt Private partnership!  Treatments expand!  Vaccine! https://t.co/GiRJIZNgr6",Twitter for iPhone,Mr. Hunna,GoHomeRoderick,"Carson, CA",San Antonio TX,US,False,proud black man | disgruntled citizen #BlackLivesMatter ✊🏾,San Antonio,Texas,United States
2020-09-29 15:17:37+00:00,"@VertexFan @AP4Liberty Speaking of shit, stop talking it.  The US hasn't had an epidemic in the last 50 yrs, or since the campaigns to broadly administer effective vaccines. COVID-19 too will be beaten with vax. 

See polio case data here:
https://t.co/nskRMPofox",Twitter for Android,Justin Mendoza,JustinDMendoza,"Parchment, MI",Emeryville CA,US,True,Husband | Dog dad | Movement Builder | Public Health Professional | Democratic Nominee for Michigan’s new 42nd District | #MIHD42 | RT are not endorsements.,,California,United States
2020-09-29 15:03:47+00:00,@Daniel67848005 @MarkMaddenX Covid is not the flu. It’s a highly contagious virus. Which there is no vaccine for.,Twitter for iPhone,Crystal Elston Ⓥ🌱,CrystalElston,"Oregon, USA",Monrovia CA,US,False,"Ⓥ Advocate/Activist for animals,the planet, and people. Cat mom 🐈, wine lover 🍷, tree hugger 🌲.",,California,United States
2020-09-29 14:54:47+00:00,"The same man who has a company who puts COMPUTER CHIPS in people’s BRAINS, says he won’t put a vaccine in his body because he doesn’t trust someone. Cool, that’s totally not hypocritical. https://t.co/2IFHo1Yxuw",Twitter for iPhone,ME vs ME 🙏🏾,cdw229,"Atlanta, GA",Albuquerque NM,US,False,"the less you know, the better. 🤫",Albuquerque,New Mexico,United States
2020-09-29 14:54:13+00:00,@RepTomEmmer Would NEVER use a vaccine so hurriedly pushed thru on my family!  I am an ER nurse-R&amp;D process is critical! Next spring plus at least!,Twitter for iPhone,TulsaTeresa,TulsaTeresa,"Tulsa, Oklahoma",Old Greenwich CT,US,False,"Healthcare lawyer, RN committed to ending health disparities. Passionate about Tulsa, parks, animal welfare. Traveler, cook, lover of rivers & time in our canoe",,Connecticut,United States
2020-09-29 14:50:57+00:00,Let Gotti kick a last minute vaccine and save the day again #Titans https://t.co/mdaOpu2FY8,Twitter for iPhone,Chris Rademacher,cjrdvm,,Cameron Park CA,US,False,"ISU Swine Extension Veterinarian,  Father, Husband, Follower of Christ.  Tweets and retweets are my own.",,California,United States
2020-09-29 14:48:06+00:00,This is a mistake. Wait for a vaccine. https://t.co/zR6npvG8M1,Twitter for iPhone,Bovine RPh,WLibz,"Canandaigua, NY",West Springfield MA,US,False,"Pharmacist (retired), husband, granddad, and somewhat outspoken liberal - willing to listen to both sides if the discussion is intelligent (semi-open minded).",,Massachusetts,United States
2020-09-29 14:47:17+00:00,In this @jjboggs piece I’m quoted about the timing of the flu vaccine — I usually recommend October but the key is making sure you get it (even if before or after October) https://t.co/HvLyeHM0Oc,Twitter for iPhone,Jim Sabogal,jimsabogal,"Lower Makefield, PA  USA",Westborough MA,US,False,Advising partners and clients in using IT to improve Healthcare & Life Sciences business via #strategy #Pharma #MedicalDevice #Healthcare #IoT #Supplychain #Mfg,,Massachusetts,United States
2020-09-29 14:47:06+00:00,Our awesome partner Walgreens pharmacy is providing flu vaccines! https://t.co/KMvwyY7pgd,Twitter for iPhone,spaceman,sixfootfiveguy,"Chicago, IL",Seattle WA,US,False,HAUS of THONG founder 🎀 dance floor darling 🎀 larger than life is just the right size💖 z-pack 🎀 single 🎀 fan site in links - profile photo by gkrillo_art,Seattle,Washington,United States
2020-09-29 14:36:48+00:00,"We’ve found a vaccine, BUT AT WHAT COST https://t.co/q70QwGPgwr",Twitter for iPhone,Equity 4 all citizens,DougHarding7,So. Calif ,Taylor MI,US,False,America 🇺🇸 is at a fork in the road. U are either a Patriot that cares about all citizens or you are a uncaring MAGA cult fool.,,Michigan,United States
2020-09-29 14:36:11+00:00,Girl I wear a mask and still don’t want a vaccine. Y’all love putting government sanctioned drugs into your bodies https://t.co/zxdHSNru4H,Twitter for iPhone,Jeff Browndyke,Jeff_Browndyke,"North Carolina, USA",Denver CO,US,False,Neuropsychologist & cognitive neuroscientist interested in delirium & postoperative cog outcomes in older adults. Assoc Professor @DukePsychiatry @DukeSurgery.,Denver,Colorado,United States
2020-09-29 14:32:31+00:00,"It makes perfect sense that Trump doesn’t care about actually lowering #drugprices or ensuring vaccine prices for #covid19 are super low: 

He’s never paid for the innovation like the rest of us.",Twitter for iPhone,Chris Abraham,chrisabraham,"Arlington Heights, VA",Oxnard CA,US,True,"Marche, boulot, dodo",Oxnard,California,United States
