created_at,text,source,name,username,user_location,tweet_location,country_code,verified,description,city,state,country
2020-10-17 22:32:41+00:00,"@robyn_really @tatereeves @RobynTannehill @cityofoxford Whew!!! Dodged that one. I am guessing you hate seatbelts and no smoking and insurance requirements and mandatory school, and vaccines etc. etc.",Twitter for iPhone,Lynn Spruill,lynn_spruill,Starkville MS,Starkville MS,US,False,"Owner Spruill property management,lawyer, developer; Mayor of Starkville",,Mississippi,United States
2020-10-17 22:25:24+00:00,@SecAzar @ScottGottliebMD No one has mentioned the idea of patients receiving an antibody test before receiving a vaccine. This could save thousands of shots when a vaccine comes out and the supply is limited. It would also tell us the true amount of community spread there is. What do you think?,Twitter for Android,Keith Joseph Larson,KeithJosephLar1,,Cape Coral FL,US,False,,Cape Coral,Florida,United States
2020-10-17 22:16:31+00:00,"@Noonz Also, this disheveled CVS flu shot area is probably how America will get the COVID vaccine and everything is a dystopian post-capitalist hellscape. https://t.co/papnbWyvqx",Twitter for iPhone,Adam J. Tonge,ajtonge40,Detroit,Huntington Woods MI,US,False,,,Michigan,United States
2020-10-17 22:16:14+00:00,"The Kentucky Dept of Public Health released its #COVID19 vaccine distribution plan. 
Because of supply, the vaccine will be made available in phases. ⬇️
Dr. Stack said those 1st in line will be at-risk groups like healthcare workers. @WKYT https://t.co/Yu2FWJjsW3",Twitter for iPhone,Shelby Lofton,newswithShelby,,Kentucky USA,US,False,Journalist for KSL telling Utah's stories | California girl who calls many places home | I talk to strangers for a living. | #mizzoumade | RTs ≠ endorsements |,,Kentucky,United States
2020-10-17 22:05:18+00:00,"@KenCageRepo @nypost I’d stick to hi-jacking planes, boats and cars. Setting all types of new COVID cases the past week. There is no vaccine for the coronavirus and there is still no vaccine for stupid. https://t.co/Z3b6TmHn29",Twitter for iPhone,Sharky Laguana,Sharkyl,San Francisco,San Francisco CA,US,True,President @ SF Small Business Commission / CEO @bandago (van rental) / CEO @goCampago (camper vans) / Music @creeperlagoon / Husband & Dad / Optimist,San Francisco,California,United States
2020-10-17 22:04:31+00:00,"@mp3michael For H1N1 we had a vaccine.

https://t.co/39IINQEYNe",Twitter for iPhone,Tw*tter Tw*nk,booboolafool,,Columbus OH,US,False,it does not matter,Columbus,Ohio,United States
2020-10-17 21:56:49+00:00,@mcfafsatits I thought of you too. when that vaccine comes out we’re listening to house and drinking vodka soda at the club,Twitter for iPhone,Shane patin,sjpatin,"Eunice, LA",Eunice LA,US,False,"Working hard supporting my family, working towards a better future, and always a God fearing man. Christ~Family~Me Joined Twitter bc of President Trump",Clearwater,Florida,United States
2020-10-17 21:56:49+00:00,"Ok, so are the “scientists “ admitting that a vaccine is worthless? If getting over the virus gives temp immunity, how short is the immunity from its vaccine? The only option left is to infect everyone and only the survivors are left. Temp immunity nullifies everything since Jan https://t.co/FYGzS0fF3R",Twitter for iPhone,Henny Hashira,F_ckingBryant,Miami ,Miami FL,US,False,"Anarchy, Altruism, Stoicism",Miami,Florida,United States
2020-10-17 21:56:46+00:00,"@elizabethrisco_ It’s not going away, there’s no cure, no vaccine, and no timetable from the people in charge = we’re fucked. Might as well make s’mores if the world is burning.",Tweetbot for iΟS,"Michael J. Menconi Jr., MS, MPH, HEC-C",bioethicalmike,NYC | BOS | OMNIPRESENT,Manhattan NY,US,False,"Law Student, Consultant & Entrepreneur at nexus of #Bioethics, #Medicine & #Law. Former Editor @VoicesBioethics 🎓Fordham | Harvard | Columbia | NYLS",City of New York,New York,United States
2020-10-17 21:55:22+00:00,"A Dose of Optimism, as the Pandemic Rages On https://t.co/qah7a134av",Twitter for iPhone,MCM & Cocktails🌵,jeuler,"Arizona, USA",Chandler AZ,US,False,Always hoping the Law & Order: Criminal Intent rerun is a Jeff Goldblum episode.  She/Her,Chandler,Arizona,United States
2020-10-17 21:53:02+00:00,"Masks worked in Arizona. And we need to keep wearing masks until a real vaccine is available. 

https://t.co/XIFA6sz4hX https://t.co/sJ0kiVM1HK",Twitter for Android,David Cohen,davidmcohe,Philadelphia,Philadelphia PA,US,False,"Markets & marketing //
#GoHabsGo",Philadelphia,Pennsylvania,United States
2020-10-17 21:19:13+00:00,@janemcopland Hopefully by next Christmas we have an actual effective vaccine. So far the 'vaccines' like Russia's Sputnik V are failures and mostly pr stunts / stock pumps,Twitter for Android,Thaddeus Preston,nickwaye,"Los Lunas, New Mexico",Los Lunas NM,US,False,"Father, Husband, American and a black man in that order. Council Member @theactj #Libertarian #Veteran #Conservative #Crypto",,New Mexico,United States
2020-10-17 21:18:12+00:00,"""No one is immune to COVID-19""

What's the point of a vaccine?  Or the point of immunology as a science? https://t.co/7g7mHgyEXs",Twitter for Android,Bill Bange,BangeWilliam,"St.Louis, Missouri",Affton MO,US,False,#Resist.#STLCardinalFan #FuckTrumpAndHisCult. #BleedBlue.#PackersFan.#SRV. #LucindaWilliams. #DianaKrall. #EStreetBand. #BlockedByRudyGiuliani,,Missouri,United States
2020-10-17 21:11:04+00:00,"@o_rips @poodbit499 Jonas Salk’s polio vaccine virtually eradicated polio which was infecting 50,000 children a year. If it were up to lunatics like you Polio would STILL be running rampant. Vaccines WORK.  You are a lunatic. #VaccinesSaveLives #WearAMaskSaveALife",Twitter for iPhone,Dwayne Moore,nationdivided,"Chandler, OK",Chandler OK,US,False,MAGA @charliekirk11 @ericbolling @laralogan @chuckwoolery @DavidJHarrisJr @cvpayne @catturd2 @JessieJaneDuff @michaeljohns @RealDrGina @JamesRosenTV @Kevincorke,,Oklahoma,United States
2020-10-17 20:55:34+00:00,I don't understand people. I just saw a new report 48% of white Americans say they will take the coronavirus vaccine when it becomes available but only 22% of black Americans even though they are at higher risk. I guess that will also be president Trump's fault! Take the vaccine!,Twitter for Android,moreygain3,moreygain3,"Georgia, USA",Atlanta GA,US,False,Former IT professional. I enjoy political discussions and 🐈 .,Atlanta,Georgia,United States
2020-10-17 20:47:25+00:00,"@AnitaTxmi @CGC6000 @hdoyle5246 As we have a vaccine for H1N1, CCP would have little to gain by doing this.",Twitter for Android,alex atallah,aatallah95,"New York, NY",North Massapequa NY,US,False,,,New York,United States
2020-10-17 20:47:05+00:00,"@PJDaniels6 @AlexHinesBitch @EROHealthComms @Gothamist Truth is we need to learn to live with covid and go on with normal life as covid will never be zero not even with a vaccine, treatment, therapeutic. Shutdowns may have made sense in March when we knew nothing, doctors didn’t know how to treat it, now we and doctors know more",Twitter for iPhone,Terry,Terry30843955,,Boston MA,US,False,In God I Trust,Boston,Massachusetts,United States
2020-10-17 20:40:41+00:00,@STARCHILD098 @realDonaldTrump The only thing Biden will do is mandate masks and vaccines.  😷💉,Twitter for iPhone,mariya filipova,M_Filipova,Boston,Tulsa OK,US,False,Avid explorer of #Disruptive technologies & business models that shape the future of #HealthCare and #health,Tulsa,Oklahoma,United States
2020-10-17 20:38:29+00:00,"Even a vaccine won't be enough on its own...
One thing is clear across all industries. 
**There is no silver bullet to solving this pandemic and waiting on the sidelines is not an option. ** https://t.co/U75ZmngBDZ",Twitter for iPhone,LYNNHERNANDEZ,LYNNHERNANDEZ,"Tulsa, OK USA",Pennington NJ,US,False,"Single parent of 2. Sci-Fi fan. Eager to Volunteer. Radio DJ on 103.3 The Eagle! Writer for TulsaKids Magazine, Amazonian TUL5.",,New Jersey,United States
2020-10-17 20:29:46+00:00,"In an open letter published Fri by Pfizer Chairman &amp; CEO Albert Bourla, the company said it plans to apply for emergency use authorization for its Covid19 vaccine as early as Nov.
""... soon after the safety milestone is achieved in the third week of November,"" the letter said.",Twitter for Android,F3 Black Hole (Patrick Chow),F3BlackHole,,Slidell LA,US,False,Fifth generation American. I enjoy my weekly F3 beatdowns along with my daily dose of anti-matter!,Virginia Beach,Virginia,United States
2020-10-17 20:29:34+00:00,Best explanation I’ve heard so far of our options at this time (anti-viral meds and vaccines). Give a listen. https://t.co/cgzo93tUsy,Twitter for iPhone,Big Easy Mafia,BigEasyMafia,"New Orleans, LA",Georgia USA,US,False,The OFFICIAL Fan Club ⚜️,,Georgia,United States
2020-10-17 20:24:30+00:00,Just found “my” vaccine for the #coronavirus..... @RockyPatelCigar https://t.co/owBvh6pfk7,Twitter for iPhone,Dave Grad,dave_grad,,Fullerton CA,US,False,Teacher at Polo Park Middle School.                     Passionate Educator and Robotics Coach.          Avid Triathlete,Fullerton,California,United States
2020-10-17 20:14:53+00:00,@WhiteHouse @CVSHealth @Walgreens Don’t seniors already get vaccines for free through Medicare? Just curious.,Twitter for iPhone,Sa’Phah Q 🕎,_ForeverSolid,"College Park, Ga",Port Charlotte FL,US,False,"WATCHMAN For The God of Israel, AHAYAH || Soldier For Christ, YASHAYA|| #LongLivePops #LongLiveMyFirstBornSaraw👶🏾",Port Charlotte,Florida,United States
2020-10-17 20:10:45+00:00,"biden or trump, i swear it dont matter.. after the selection, all hell is gone break loose.. mandatory vaccines is coming out, them satanic ass elites is gone pull the plug on the food, basically tryna force us to take it.. a real deal FAMINE is finna hit.. redirect yo focus",Twitter for iPhone,Dan S. White,dswpage,Earth,Newark CA,US,False,"Nov. 2008 • Aug. 2022 •
Instagram: dswgram 
Text: 646-288-2014 • bridgehorse@gmail.com",,California,United States
2020-10-17 20:09:12+00:00,"I'll say it again.

Wear your mask to save your life &amp; other lives!  It's disrespectful to others when you do not wear your mask in public.

Most important, listen to the scientists, not the liars.

I'll take the vaccine when Dr. Fauci takes the vaccine. https://t.co/LS8LUuUhci",Twitter for Android,djhutch,djhutch74,,Newton MA,US,False,"Progressive, Bernie supporter, get $$ out of politics",Newton,Massachusetts,United States
2020-10-17 20:02:13+00:00,@tomithy_veatch @EmceeDevlin Joes Covid plan— National mask mandate then wait for a vaccine.,Twitter for iPhone,Mio Zoldyck-Tenecora (she/her/hers),Mio040229,"San Francisco, CA",New Orleans LA,US,False,Attorney. Gym enthusiast. Anime enthusiast. Social change activist. NY🛫CA Views are my own. Go Cowboys/Knicks/Warriors!,New Orleans,Louisiana,United States
2020-10-17 19:46:08+00:00,I’m tired of COVID...speed up the damn vaccine so when can all move on from this hell...,Twitter for iPhone,"Liz Grinspoon, PhD #ICantBreathe #BlackLivesMatter",LizGrinspoon,"Auburndale, MA",Washington USA,US,False,"#BlackLivesMatter
#BeProsocial
#Engineer https://t.co/imrsOTSDeT 
@LauraGermine Lab 4 Brain & Cog Health Tech
@McLeanHospital

https://t.co/20GtLjbYFl

Views My Own",Washington,District of Columbia,United States
